gene_id,xen_pep_id,xen_gene_symbol,xen_description
PECUL23A015628,ENSXETP00000052948,c4orf33.1,chromosome 4 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:27025]
PECUL23A015629,ENSXETP00000116011,,
PECUL23A015633,ENSXETP00000000095,acot2,acyl-CoA thioesterase 2 [Source:Xenbase;Acc:XB-GENE-1011314]
PECUL23A015634,ENSXETP00000107932,,
PECUL23A015635,ENSXETP00000068931,zswim8,zinc finger SWIM-type containing 8 [Source:Xenbase;Acc:XB-GENE-1217722]
PECUL23A015640,ENSXETP00000010178,gpaa1,glycosylphosphatidylinositol anchor attachment 1 [Source:Xenbase;Acc:XB-GENE-974957]
PECUL23A015642,ENSXETP00000096329,vcp,valosin containing protein [Source:Xenbase;Acc:XB-GENE-969573]
PECUL23A015643,ENSXETP00000043147,shroom3,shroom family member 3 [Source:Xenbase;Acc:XB-GENE-490224]
PECUL23A015644,ENSXETP00000105499,,
PECUL23A015658,ENSXETP00000068622,sec16b,"SEC16 homolog B, endoplasmic reticulum export factor [Source:Xenbase;Acc:XB-GENE-6468128]"
PECUL23A015660,ENSXETP00000096747,capn13,calpain 13 [Source:Xenbase;Acc:XB-GENE-6045506]
PECUL23A015661,ENSXETP00000008736,ctu1,cytosolic thiouridylase subunit 1 [Source:Xenbase;Acc:XB-GENE-5872210]
PECUL23A015662,,,
PECUL23A015666,ENSXETP00000058674,fam161a,"FAM161A, centrosomal protein [Source:Xenbase;Acc:XB-GENE-5821022]"
PECUL23A015668,ENSXETP00000046860,tfap2b,transcription factor AP-2 beta [Source:Xenbase;Acc:XB-GENE-485026]
PECUL23A015669,ENSXETP00000102901,,
PECUL23A015671,,,
PECUL23A015672,ENSXETP00000091520,gsg1,germ cell associated 1 [Source:Xenbase;Acc:XB-GENE-940195]
PECUL23A015673,ENSXETP00000103365,,
PECUL23A015675,ENSXETP00000093109,ntsr2,neurotensin receptor 2 [Source:Xenbase;Acc:XB-GENE-22068810]
PECUL23A015676,ENSXETP00000110505,ENTREP3,family with sequence similarity 189 member B [Source:HGNC Symbol;Acc:HGNC:1233]
PECUL23A015678,ENSXETP00000085242,rgs8,regulator of G-protein signaling 8 [Source:Xenbase;Acc:XB-GENE-990044]
PECUL23A015679,ENSXETP00000071349,,
PECUL23A015682,ENSXETP00000084444,loxl2,lysyl oxidase like 2 [Source:Xenbase;Acc:XB-GENE-1010775]
PECUL23A015684,ENSXETP00000042809,bcl6,"BCL6, transcription repressor [Source:Xenbase;Acc:XB-GENE-984479]"
PECUL23A015690,ENSXETP00000082858,vwce,von Willebrand factor C and EGF domains [Source:Xenbase;Acc:XB-GENE-920183]
PECUL23A015691,ENSXETP00000110873,,
PECUL23A015692,ENSXETP00000089402,nectin1l1,nectin cell adhesion molecule 1 like 1 [Source:Xenbase;Acc:XB-GENE-22065634]
PECUL23A015696,ENSXETP00000115960,,
PECUL23A015697,ENSXETP00000114454,ankar,ankyrin and armadillo repeat containing [Source:Xenbase;Acc:XB-GENE-1010351]
PECUL23A015698,ENSXETP00000002840,nup35,nucleoporin 35kDa [Source:Xenbase;Acc:XB-GENE-980941]
PECUL23A015702,ENSXETP00000085902,rgn,regucalcin [Source:Xenbase;Acc:XB-GENE-483637]
PECUL23A015703,ENSXETP00000076869,sptbn2,"spectrin, beta, non-erythrocytic 2 [Source:Xenbase;Acc:XB-GENE-1008690]"
PECUL23A015705,ENSXETP00000109803,hbd,hemoglobin subunit delta [Source:Xenbase;Acc:XB-GENE-5844531]
PECUL23A015706,ENSXETP00000034789,tsc2,TSC complex subunit 2 [Source:Xenbase;Acc:XB-GENE-981706]
PECUL23A015708,ENSXETP00000072839,capn7,calpain 7 [Source:Xenbase;Acc:XB-GENE-996630]
PECUL23A015711,ENSXETP00000086200,dhx57,DEAH-box helicase 57 [Source:Xenbase;Acc:XB-GENE-976876]
PECUL23A015715,ENSXETP00000073568,tmem127,transmembrane protein 127 [Source:Xenbase;Acc:XB-GENE-960267]
PECUL23A015721,ENSXETP00000082284;ENSXETP00000100171,mpdz,multiple PDZ domain protein [Source:Xenbase;Acc:XB-GENE-994032]
PECUL23A015722,ENSXETP00000115266,pex5l,peroxisomal biosis factor 5-like [Source:Xenbase;Acc:XB-GENE-980178]
PECUL23A015723,ENSXETP00000103365,,
PECUL23A015729,,,
PECUL23A015731,ENSXETP00000090021,atp2a2,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2 [Source:Xenbase;Acc:XB-GENE-1012933]"
PECUL23A015733,ENSXETP00000072086,xkr4,XK related 4 [Source:Xenbase;Acc:XB-GENE-5813487]
PECUL23A015735,ENSXETP00000032991,gtf2b,ral transcription factor 2B [Source:Xenbase;Acc:XB-GENE-494448]
PECUL23A015737,ENSXETP00000091292,slc27a6,solute carrier family 27 member 6 [Source:Xenbase;Acc:XB-GENE-491992]
PECUL23A015739,ENSXETP00000109127,,
PECUL23A015741,ENSXETP00000071357,cacna1i,"calcium channel, voltage-dependent, T type, alpha 1I subunit [Source:Xenbase;Acc:XB-GENE-983863]"
PECUL23A015742,ENSXETP00000066023,gtf2h3,ral transcription factor IIH subunit 3 [Source:Xenbase;Acc:XB-GENE-952722]
PECUL23A015754,ENSXETP00000069933,mcm3ap,minichromosome maintenance complex component 3 associated protein [Source:Xenbase;Acc:XB-GENE-981006]
PECUL23A015756,ENSXETP00000043393,clrn1,clarin 1 [Source:Xenbase;Acc:XB-GENE-6044813]
PECUL23A015757,ENSXETP00000118819,lep,leptin [Source:Xenbase;Acc:XB-GENE-980661]
PECUL23A015758,ENSXETP00000117371,,
PECUL23A015759,ENSXETP00000071357,cacna1i,"calcium channel, voltage-dependent, T type, alpha 1I subunit [Source:Xenbase;Acc:XB-GENE-983863]"
PECUL23A015761,ENSXETP00000089896,shc4,SHC (Src homology 2 domain containing) family member 4 [Source:Xenbase;Acc:XB-GENE-490134]
PECUL23A015763,ENSXETP00000067951,hectd2,HECT domain containing E3 ubiquitin protein ligase 2 [Source:Xenbase;Acc:XB-GENE-958149]
PECUL23A015764,ENSXETP00000107487,nagpa,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase [Source:Xenbase;Acc:XB-GENE-996371]
PECUL23A015765,ENSXETP00000092481,aldh3b2,aldehyde dehydrogenase 3 family member B2 [Source:Xenbase;Acc:XB-GENE-5776192]
PECUL23A015767,ENSXETP00000110957,crtam,cytotoxic and regulatory T cell molecule [Source:Xenbase;Acc:XB-GENE-962112]
PECUL23A015768,ENSXETP00000113484,,
PECUL23A015769,ENSXETP00000107115,,
PECUL23A015770,ENSXETP00000109270,calm2,"calmodulin 2 (phosphorylase kinase, delta) [Source:Xenbase;Acc:XB-GENE-976642]"
PECUL23A015771,ENSXETP00000008477,mcoln2,mucolipin TRP cation channel 2 [Source:Xenbase;Acc:XB-GENE-5767908]
PECUL23A015775,ENSXETP00000068981,myef2,myelin expression factor 2 [Source:Xenbase;Acc:XB-GENE-854005]
PECUL23A015776,ENSXETP00000044083,krt7,keratin 7 [Source:Xenbase;Acc:XB-GENE-876869]
PECUL23A015777,ENSXETP00000053743,pigr,polymeric immunoglobulin receptor [Source:Xenbase;Acc:XB-GENE-981188]
PECUL23A015781,ENSXETP00000107023;ENSXETP00000050608,NA;rnf144a,NA;ring finger protein 144A [Source:Xenbase;Acc:XB-GENE-962808]
PECUL23A015784,ENSXETP00000116088;ENSXETP00000052896,ppp1ca;ppp1cc,"protein phosphatase 1, catalytic subunit, alpha isozyme [Source:NCBI gene (formerly Entrezgene);Acc:100145598];protein phosphatase 1, catalytic subunit, gamma isozyme [Source:Xenbase;Acc:XB-GENE-967934]"
PECUL23A015788,ENSXETP00000080439,pias1,protein inhibitor of activated STAT 1 [Source:Xenbase;Acc:XB-GENE-486558]
PECUL23A015789,ENSXETP00000100734,ABCB4,ATP binding cassette subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:45]
PECUL23A015792,ENSXETP00000018036,bcar3,"BCAR3, NSP family adaptor protein [Source:Xenbase;Acc:XB-GENE-6076062]"
PECUL23A015793,ENSXETP00000007574,hectd3,HECT domain containing E3 ubiquitin protein ligase 3 [Source:Xenbase;Acc:XB-GENE-5937967]
PECUL23A015794,ENSXETP00000071357,cacna1i,"calcium channel, voltage-dependent, T type, alpha 1I subunit [Source:Xenbase;Acc:XB-GENE-983863]"
PECUL23A015795,ENSXETP00000119071,,
PECUL23A015798,ENSXETP00000011831,myadml2,myeloid-associated differentiation marker-like 2 [Source:Xenbase;Acc:XB-GENE-967754]
PECUL23A015799,ENSXETP00000035215,sec14l3,SEC14-like lipid binding 3 [Source:Xenbase;Acc:XB-GENE-951877]
PECUL23A015800,ENSXETP00000013936,kcnj4,potassium inwardly rectifying channel subfamily J member 4 [Source:Xenbase;Acc:XB-GENE-493748]
PECUL23A015803,ENSXETP00000066821,diaph2,diaphanous related formin 2 [Source:Xenbase;Acc:XB-GENE-6258603]
PECUL23A015804,ENSXETP00000104664,coro6,coronin 6 [Source:Xenbase;Acc:XB-GENE-493511]
PECUL23A015806,ENSXETP00000118187,,
PECUL23A015807,ENSXETP00000035013,tst,thiosulfate sulfurtransferase [Source:Xenbase;Acc:XB-GENE-951808]
PECUL23A015810,ENSXETP00000061300,fbxw9,F-box and WD repeat domain containing 9 [Source:Xenbase;Acc:XB-GENE-5726702]
PECUL23A015813,ENSXETP00000114441,,
PECUL23A015815,ENSXETP00000113971,stra6l.1,"stra6-like, 1 [Source:Xenbase;Acc:XB-GENE-988722]"
PECUL23A015816,ENSXETP00000097019,,
PECUL23A015818,ENSXETP00000042283,sphk1,sphingosine kinase 1 [Source:Xenbase;Acc:XB-GENE-1015643]
PECUL23A015819,ENSXETP00000106428,,
PECUL23A015824,ENSXETP00000053108,nabp2,nucleic acid binding protein 2 [Source:Xenbase;Acc:XB-GENE-985188]
PECUL23A015832,ENSXETP00000109878,cdin1,CDAN1 interacting nuclease 1 [Source:Xenbase;Acc:XB-GENE-941818]
PECUL23A015835,ENSXETP00000084245,XB5907626 [provisional:fabp1],provisional ortholog of fatty acid binding protein 1 [Source:Xenbase;Acc:XB-GENE-5907627]
PECUL23A015836,ENSXETP00000103918,cadm1,cell adhesion molecule 1 [Source:Xenbase;Acc:XB-GENE-6033349]
PECUL23A015841,ENSXETP00000011696,sars2,"seryl-tRNA synthetase 2, mitochondrial [Source:Xenbase;Acc:XB-GENE-969286]"
PECUL23A015842,ENSXETP00000111845,anks4b,ankyrin repeat and sterile alpha motif domain containing 4B [Source:Xenbase;Acc:XB-GENE-976167]
PECUL23A015847,ENSXETP00000101718,ripor1,RHO family interacting cell polarization regulator 1 [Source:Xenbase;Acc:XB-GENE-6044247]
PECUL23A015848,ENSXETP00000117233,,
PECUL23A015849,ENSXETP00000110482,arf6.2,ADP ribosylation factor 6 [Source:NCBI gene (formerly Entrezgene);Acc:448503]
PECUL23A015850,ENSXETP00000056266,XB5872720 [provisional],uncharacterized XB5872720 [Source:Xenbase;Acc:XB-GENE-5872721]
PECUL23A015854,ENSXETP00000098750;ENSXETP00000002822,tk1,thymidine kinase 1 [Source:Xenbase;Acc:XB-GENE-978544]
PECUL23A015855,ENSXETP00000021623,fkbp11,FKBP prolyl isomerase 11 [Source:Xenbase;Acc:XB-GENE-966311]
PECUL23A015858,ENSXETP00000097832,supv3l1,Suv3 like RNA helicase [Source:Xenbase;Acc:XB-GENE-989015]
PECUL23A015859,ENSXETP00000042614,nomo3,NODAL modulator 3 [Source:Xenbase;Acc:XB-GENE-949390]
PECUL23A015864,ENSXETP00000050068,atpsckmt,ATP synthase c subunit lysine N-methyltransferase [Source:Xenbase;Acc:XB-GENE-948547]
PECUL23A015865,ENSXETP00000106965,,
PECUL23A015866,ENSXETP00000105739,,
PECUL23A015868,ENSXETP00000083684,prkag2,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit [Source:Xenbase;Acc:XB-GENE-1010726]"
PECUL23A015870,ENSXETP00000109127,,
PECUL23A015878,ENSXETP00000118831,adgrg2,adhesion G protein-coupled receptor G2 [Source:Xenbase;Acc:XB-GENE-987911]
PECUL23A015884,ENSXETP00000075457,bahcc1,BAH domain and coiled-coil containing 1 [Source:Xenbase;Acc:XB-GENE-6458577]
PECUL23A015885,ENSXETP00000094337,edar,ectodysplasin A receptor [Source:Xenbase;Acc:XB-GENE-945379]
PECUL23A015888,ENSXETP00000113724,,
PECUL23A015889,ENSXETP00000106477,,
PECUL23A015894,ENSXETP00000003818,alg5,"ALG5, dolichyl-phosphate beta-glucosyltransferase [Source:Xenbase;Acc:XB-GENE-946754]"
PECUL23A015896,ENSXETP00000053564,snrpd3,small nuclear ribonucleoprotein D3 polypeptide [Source:Xenbase;Acc:XB-GENE-1014502]
PECUL23A015899,ENSXETP00000044733,mrps31,mitochondrial ribosomal protein S31 [Source:Xenbase;Acc:XB-GENE-988773]
PECUL23A015900,ENSXETP00000094110,XB5738351 [provisional:cartpt],provisional ortholog of CART prepropeptide [Source:Xenbase;Acc:XB-GENE-5738352]
PECUL23A015901,ENSXETP00000067034,pou4f2,POU class 4 homeobox 2 [Source:Xenbase;Acc:XB-GENE-854899]
PECUL23A015902,ENSXETP00000099808,,
PECUL23A015903,ENSXETP00000095191,trmt10b,tRNA methyltransferase 10B [Source:Xenbase;Acc:XB-GENE-6048703]
PECUL23A015905,ENSXETP00000067626;ENSXETP00000010536,prkdc,"protein kinase, DNA-activated, catalytic subunit [Source:Xenbase;Acc:XB-GENE-494614]"
PECUL23A015906,ENSXETP00000118010,trpc5,"transient receptor potential cation channel, subfamily C, member 5 [Source:Xenbase;Acc:XB-GENE-1013348]"
PECUL23A015910,ENSXETP00000088377,itfg1,integrin alpha FG-GAP repeat containing 1 [Source:Xenbase;Acc:XB-GENE-5735764]
PECUL23A015911,ENSXETP00000004571,ccdc50,coiled-coil domain containing 50 [Source:Xenbase;Acc:XB-GENE-984492]
PECUL23A015912,ENSXETP00000111336,,
PECUL23A015913,ENSXETP00000111426,abcb8,ATP binding cassette subfamily B member 8 [Source:Xenbase;Acc:XB-GENE-1010256]
PECUL23A015914,ENSXETP00000068926,pex10,peroxisomal biosis factor 10 [Source:Xenbase;Acc:XB-GENE-954175]
PECUL23A015917,ENSXETP00000111148,sys1,Sys1 golgi trafficking protein [Source:Xenbase;Acc:XB-GENE-5820723]
PECUL23A015924,ENSXETP00000054076,spg11,"SPG11, spatacsin vesicle trafficking associated [Source:Xenbase;Acc:XB-GENE-5868352]"
PECUL23A015925,ENSXETP00000074011,ldlrad4,low density lipoprotein receptor class A domain containing 4 [Source:Xenbase;Acc:XB-GENE-953560]
PECUL23A015934,ENSXETP00000026118,,
PECUL23A015936,ENSXETP00000066560,,
PECUL23A015937,ENSXETP00000015940,gnat1,provisional ortholog of ATPase phospholipid transporting 8B2 [Source:Xenbase;Acc:XB-GENE-994120]
PECUL23A015939,ENSXETP00000008283,neu3.1,sialidase 3 (membrane sialidase) 1 [Source:Xenbase;Acc:XB-GENE-996645]
PECUL23A015942,ENSXETP00000007461,GP5,glycoprotein V platelet [Source:HGNC Symbol;Acc:HGNC:4443]
PECUL23A015944,ENSXETP00000029225,zc3h15,zinc finger CCCH-type containing 15 [Source:Xenbase;Acc:XB-GENE-5800360]
PECUL23A015947,ENSXETP00000077395,gmip,GEM interacting protein [Source:Xenbase;Acc:XB-GENE-977540]
PECUL23A015949,ENSXETP00000060969,fev,"FEV, ETS transcription factor [Source:Xenbase;Acc:XB-GENE-853582]"
PECUL23A015954,ENSXETP00000069319,frmd4b,FERM domain containing 4B [Source:Xenbase;Acc:XB-GENE-958639]
PECUL23A015957,ENSXETP00000006199,rnf11,ring finger protein 11 [Source:Xenbase;Acc:XB-GENE-852608]
PECUL23A015958,ENSXETP00000110873,,
PECUL23A015959,ENSXETP00000057849,zcchc9,zinc finger CCHC-type containing 9 [Source:Xenbase;Acc:XB-GENE-972766]
PECUL23A015961,ENSXETP00000057601,abitram,actin binding transcription modulator [Source:Xenbase;Acc:XB-GENE-6458491]
PECUL23A015966,ENSXETP00000099395,apoa5,apolipoprotein A5 [Source:Xenbase;Acc:XB-GENE-941923]
PECUL23A015967,ENSXETP00000012066,arhgap42,Rho GTPase activating protein 42 [Source:Xenbase;Acc:XB-GENE-6045446]
PECUL23A015970,ENSXETP00000076134,ddb1,damage-specific DNA binding protein 1 [Source:Xenbase;Acc:XB-GENE-967908]
PECUL23A015973,ENSXETP00000067485,homer3,homer scaffold protein 3 [Source:Xenbase;Acc:XB-GENE-962123]
PECUL23A015975,ENSXETP00000077932,lamtor5,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 5 [Source:Xenbase;Acc:XB-GENE-950195]"
PECUL23A015978,ENSXETP00000061413,,
PECUL23A015980,ENSXETP00000096556,pjvk,pejvakin [Source:Xenbase;Acc:XB-GENE-6041438]
PECUL23A015981,ENSXETP00000115735,clasrp,CLK4-associating serine/arginine rich protein [Source:Xenbase;Acc:XB-GENE-6458768]
PECUL23A015983,ENSXETP00000089854,arhgef11,Rho guanine nucleotide exchange factor 11 [Source:Xenbase;Acc:XB-GENE-992398]
PECUL23A015984,ENSXETP00000008305,dedd,death effector domain containing [Source:Xenbase;Acc:XB-GENE-5846211]
PECUL23A015985,ENSXETP00000108959,,
PECUL23A015989,ENSXETP00000077260,gtf3c5,ral transcription factor IIIC subunit 5 [Source:Xenbase;Acc:XB-GENE-1012275]
PECUL23A015990,ENSXETP00000110806,,
PECUL23A015991,ENSXETP00000109928,,
PECUL23A015992,ENSXETP00000104687,,
PECUL23A015993,ENSXETP00000106477,,
PECUL23A015996,ENSXETP00000072550,alg10,"ALG10, alpha-1,2-glucosyltransferase [Source:NCBI gene (formerly Entrezgene);Acc:548946]"
PECUL23A015998,ENSXETP00000094319,grxcr1,"glutaredoxin, cysteine rich 1 [Source:Xenbase;Acc:XB-GENE-6042490]"
PECUL23A016000,ENSXETP00000054646,id4,"inhibitor of DNA binding 4, HLH protein [Source:NCBI gene (formerly Entrezgene);Acc:448114]"
PECUL23A016002,ENSXETP00000040693,avpr1a,arginine vasopressin receptor 1A [Source:Xenbase;Acc:XB-GENE-482551]
PECUL23A016005,ENSXETP00000087718,kpna4,karyopherin alpha 4 (importin alpha 3) [Source:Xenbase;Acc:XB-GENE-1011058]
PECUL23A016007,ENSXETP00000059788,dis3l,DIS3 like exosome 3'-5' exoribonuclease [Source:NCBI gene (formerly Entrezgene);Acc:780296]
PECUL23A016011,ENSXETP00000040023,cwf19l2,CWF19 like cell cycle control factor 2 [Source:Xenbase;Acc:XB-GENE-985900]
PECUL23A016015,ENSXETP00000040814,stk36,serine/threonine kinase 36 [Source:Xenbase;Acc:XB-GENE-5998666]
PECUL23A016016,ENSXETP00000107115,,
PECUL23A016017,ENSXETP00000107115,,
PECUL23A016019,ENSXETP00000057208,iscu,iron-sulfur cluster assembly enzyme [Source:Xenbase;Acc:XB-GENE-946406]
PECUL23A016022,ENSXETP00000086890,tecpr1,tectonin beta-propeller repeat containing 1 [Source:Xenbase;Acc:XB-GENE-5865975]
PECUL23A016026,ENSXETP00000057159,nfe2,"nuclear factor, erythroid 2 [Source:Xenbase;Acc:XB-GENE-483914]"
PECUL23A016028,ENSXETP00000100483,,
PECUL23A016029,ENSXETP00000093689,ccdc47,coiled-coil domain containing 47 [Source:Xenbase;Acc:XB-GENE-1003204]
PECUL23A016030,ENSXETP00000005685,cryl1,crystallin lambda 1 [Source:Xenbase;Acc:XB-GENE-945577]
PECUL23A016033,ENSXETP00000013325,usp22,ubiquitin specific peptidase 22 [Source:Xenbase;Acc:XB-GENE-6086060]
PECUL23A016034,ENSXETP00000113706,hbd,hemoglobin subunit delta [Source:Xenbase;Acc:XB-GENE-5844531]
PECUL23A016036,ENSXETP00000019204,elavl1,ELAV like RNA binding protein 1 [Source:Xenbase;Acc:XB-GENE-481800]
PECUL23A016040,ENSXETP00000029572,cnpy1,canopy FGF signaling regulator 1 [Source:Xenbase;Acc:XB-GENE-981809]
PECUL23A016044,ENSXETP00000108458,wipf2,cell division cycle 6 [Source:Xenbase;Acc:XB-GENE-974720]
PECUL23A016046,ENSXETP00000040407,pias3,protein inhibitor of activated STAT 3 [Source:Xenbase;Acc:XB-GENE-486632]
PECUL23A016051,ENSXETP00000102474,ASCL3,achaete-scute family bHLH transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:740]
PECUL23A016052,ENSXETP00000103365,,
PECUL23A016053,ENSXETP00000102615,ilf2,interleukin enhancer binding factor 2 [Source:Xenbase;Acc:XB-GENE-876477]
PECUL23A016054,ENSXETP00000090010,,
PECUL23A016057,ENSXETP00000021306,cyp2a6.7,cytochrome P450 family 2 subfamily A member 6 7 [Source:Xenbase;Acc:XB-GENE-5764740]
PECUL23A016058,ENSXETP00000072837,lbx1,ladybird homeobox 1 [Source:Xenbase;Acc:XB-GENE-6455157]
PECUL23A016059,ENSXETP00000001227,cfap20dc,CFAP20 domain containing [Source:Xenbase;Acc:XB-GENE-6258466]
PECUL23A016063,ENSXETP00000093490,tmtops2,tmtops2 [Source:Xenbase;Acc:XB-GENE-990436]
PECUL23A016066,ENSXETP00000079281,crnkl1,crooked neck pre-mRNA splicing factor 1 [Source:Xenbase;Acc:XB-GENE-5890911]
PECUL23A016068,ENSXETP00000117768,c20orf27,
PECUL23A016071,ENSXETP00000061537,strip1,striatin interacting protein 1 [Source:Xenbase;Acc:XB-GENE-5768658]
PECUL23A016073,ENSXETP00000073425,atad2b,"ATPase family, AAA domain containing 2B [Source:Xenbase;Acc:XB-GENE-5956276]"
PECUL23A016074,ENSXETP00000090636,dcaf13,DDB1 and CUL4 associated factor 13 [Source:Xenbase;Acc:XB-GENE-5791289]
PECUL23A016078,ENSXETP00000074391,znf474,zinc finger protein 474 [Source:Xenbase;Acc:XB-GENE-980441]
PECUL23A016079,ENSXETP00000095828,col19a1,"collagen, type XIX, alpha 1 [Source:Xenbase;Acc:XB-GENE-6050958]"
PECUL23A016080,ENSXETP00000107442,,
PECUL23A016081,ENSXETP00000078473,mtrex,Mtr4 exosome RNA helicase [Source:Xenbase;Acc:XB-GENE-1013876]
PECUL23A016084,ENSXETP00000046634,nlrx1,NLR family member X1 [Source:Xenbase;Acc:XB-GENE-6039800]
PECUL23A016086,ENSXETP00000019578,cers3,ceramide synthase 3 [Source:Xenbase;Acc:XB-GENE-957267]
PECUL23A016090,ENSXETP00000093328,ica1,islet cell autoantigen 1 [Source:Xenbase;Acc:XB-GENE-974152]
PECUL23A016093,ENSXETP00000046507,dcp2,decapping mRNA 2 [Source:Xenbase;Acc:XB-GENE-966970]
PECUL23A016097,ENSXETP00000111604;ENSXETP00000110590,smarce1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1 [Source:Xenbase;Acc:XB-GENE-482511]"
PECUL23A016100,ENSXETP00000097594;ENSXETP00000062014,copb2,COPI coat complex subunit beta 2 [Source:Xenbase;Acc:XB-GENE-964668]
PECUL23A016101,ENSXETP00000074433,dach2,dachshund family transcription factor 2 [Source:Xenbase;Acc:XB-GENE-876613]
PECUL23A016102,ENSXETP00000104687,,
PECUL23A016107,ENSXETP00000060368;ENSXETP00000118333,XB5727514 [provisional];tm7sf3,novel protein containing an Inosine-uridine preferring nucleoside hydrolase domain [Source:Xenbase;Acc:XB-GENE-5727515];transmembrane 7 superfamily member 3 [Source:Xenbase;Acc:XB-GENE-996265]
PECUL23A016108,ENSXETP00000063690,pmt [provisional],phosphoethanolamine methyltransferase [Source:Xenbase;Acc:XB-GENE-5904605]
PECUL23A016109,ENSXETP00000080189,,
PECUL23A016112,ENSXETP00000068967,slc26a6,solute carrier family 26 member 6 [Source:Xenbase;Acc:XB-GENE-919879]
PECUL23A016113,ENSXETP00000104940,ywhaz,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:Xenbase;Acc:XB-GENE-970616]
PECUL23A016118,ENSXETP00000015295,klf11,Kruppel-like factor 11 [Source:Xenbase;Acc:XB-GENE-956858]
PECUL23A016119,ENSXETP00000005841,bco2,beta-carotene oxygenase 2 [Source:Xenbase;Acc:XB-GENE-5747659]
PECUL23A016120,ENSXETP00000058325,zdhhc23,"zinc finger, DHHC-type containing 23 [Source:Xenbase;Acc:XB-GENE-940076]"
PECUL23A016121,ENSXETP00000111824,clic1,chloride intracellular channel 1 [Source:Xenbase;Acc:XB-GENE-479419]
PECUL23A016122,ENSXETP00000101405,eif4g1,"eukaryotic translation initiation factor 4 gamma, 1 [Source:Xenbase;Acc:XB-GENE-986249]"
PECUL23A016128,ENSXETP00000004063,hsd3b7,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7 [Source:Xenbase;Acc:XB-GENE-1008841]"
PECUL23A016137,ENSXETP00000118073;ENSXETP00000112135,foxk2,forkhead box K2 [Source:Xenbase;Acc:XB-GENE-483520]
PECUL23A016138,ENSXETP00000108333,snu13,small nuclear ribonucleoprotein 13 [Source:Xenbase;Acc:XB-GENE-963821]
PECUL23A016142,ENSXETP00000116811,,
PECUL23A016145,ENSXETP00000034630;ENSXETP00000001651,hydin;snapc4,"HYDIN, axonemal central pair apparatus protein [Source:Xenbase;Acc:XB-GENE-980391];small nuclear RNA activating complex polypeptide 4 [Source:Xenbase;Acc:XB-GENE-1002836]"
PECUL23A016151,ENSXETP00000043285;ENSXETP00000109707,rc3h1,ring finger and CCCH-type domains 1 [Source:Xenbase;Acc:XB-GENE-5864196]
PECUL23A016155,ENSXETP00000026397,slco1b3,solute carrier organic anion transporter family member 1B3 [Source:Xenbase;Acc:XB-GENE-5943217]
PECUL23A016156,ENSXETP00000062711,ces5a,carboxylesterase 5A [Source:NCBI gene (formerly Entrezgene);Acc:394897]
PECUL23A016157,ENSXETP00000019323,steap4.1,"STEAP4 metalloreductase, 1 [Source:Xenbase;Acc:XB-GENE-5814015]"
PECUL23A016159,ENSXETP00000114554,,
PECUL23A016160,ENSXETP00000062486,shisal2a,shisa like 2A [Source:Xenbase;Acc:XB-GENE-6041729]
PECUL23A016161,ENSXETP00000100133,trip4,thyroid hormone receptor interactor 4 [Source:Xenbase;Acc:XB-GENE-974186]
PECUL23A016162,ENSXETP00000032739,vil1,villin 1 [Source:Xenbase;Acc:XB-GENE-965127]
PECUL23A016165,ENSXETP00000004750,kiaa1958,KIAA1958 [Source:Xenbase;Acc:XB-GENE-5969966]
PECUL23A016166,ENSXETP00000102744,adamtsl2,ADAMTS like 2 [Source:Xenbase;Acc:XB-GENE-6047393]
PECUL23A016168,ENSXETP00000022650,cdx1,caudal type homeobox 1 [Source:Xenbase;Acc:XB-GENE-485396]
PECUL23A016169,ENSXETP00000111955,,
PECUL23A016176,ENSXETP00000048002,birc2,baculoviral IAP repeat containing 2 [Source:Xenbase;Acc:XB-GENE-966171]
PECUL23A016177,ENSXETP00000041337,trappc11,trafficking protein particle complex subunit 11 [Source:Xenbase;Acc:XB-GENE-5931148]
PECUL23A016179,ENSXETP00000034397,tcirg1,"T cell immune regulator 1, ATPase H+ transporting V0 subunit a3 [Source:Xenbase;Acc:XB-GENE-5721917]"
PECUL23A016187,ENSXETP00000081657,txndc5,thioredoxin domain containing 5 [Source:Xenbase;Acc:XB-GENE-490945]
PECUL23A016188,ENSXETP00000076068,secisbp2l,SECIS binding protein 2-like [Source:Xenbase;Acc:XB-GENE-988601]
PECUL23A016190,ENSXETP00000080189,,
PECUL23A016193,ENSXETP00000117233,,
PECUL23A016195,ENSXETP00000002550,gale,UDP-galactose-4-epimerase [Source:Xenbase;Acc:XB-GENE-965029]
